word,percent
want,0.000603437077018
take,0.000602040231932
according,0.000600643386846
million,0.000593659161418
work,0.000590865471247
part,0.00058667493599
united,0.000581087555647
national,0.000578293865475
under,0.000575500175304
home,0.000574103330218
group,0.000572706485133
around,0.000571309640047
days,0.000569912794961
news,0.000569912794961
party,0.000565722259704
former,0.000561531724447
should,0.000554547499019
percent,0.000554547499019
think,0.000544769583419
see,0.000539182203076
another,0.000534991667819
best,0.000529404287476
security,0.000529404287476
between,0.000529404287476
next,0.000525213752219
north,0.000522420062048
political,0.000519626371876
saturday,0.000514038991534
university,0.000509848456277
long,0.00050565792102
life,0.000500070540677
go,0.00049588000542
big,0.000494483160334
well,0.000491689470163
report,0.000479117864391
left,0.000477721019306
white,0.000474927329134
children,0.000470736793877
department,0.000469339948792
four,0.000467943103706
law,0.000467943103706
court,0.000463752568449
called,0.000460958878278
case,0.000455371497935
used,0.000453974652849
feb,0.000453974652849
march,0.000446990427421
“i,0.000445593582335
whether,0.000444196737249
director,0.000442799892164
both,0.000442799892164
come,0.000442799892164
never,0.000441403047078
(ap,0.000437212511821
found,0.000437212511821
south,0.000437212511821
international,0.000435815666735
killed,0.000435815666735
little,0.000435815666735
military,0.000434418821649
same,0.000434418821649
few,0.000433021976564
use,0.000430228286392
school,0.000427434596221
federal,0.000423244060964
own,0.000416259835535
--,0.000413466145364
office,0.000413466145364
came,0.000412069300278
family,0.000412069300278
help,0.000412069300278
second,0.000412069300278
later,0.000409275610107
place,0.000409275610107
really,0.000407878765021
team,0.000406481919936
death,0.000406481919936
show,0.000406481919936
tax,0.000406481919936
month,0.000403688229764
don,0.000400894539593
good,0.000399497694507
too,0.000399497694507
cuts,0.000398100849421
company,0.00039530715925
support,0.00039530715925
minister,0.00039530715925
here,0.00039530715925
american,0.000393910314164
set,0.000391116623993
need,0.000391116623993
right,0.000389719778907
gun,0.000388322933822
without,0.000388322933822
took,0.000388322933822
10,0.000388322933822
rutgers,0.000386926088736
information,0.000386926088736
end,0.000386926088736
washington,0.000386926088736
put,0.00038552924365
months,0.000382735553479
early,0.000378545018222
health,0.000377148173136
until,0.000377148173136
got,0.000374354482965
something,0.000372957637879
members,0.000372957637879
top,0.000372957637879
night,0.000371560792793
might,0.000371560792793
2011,0.000371560792793
chief,0.000370163947708
several,0.000368767102622
among,0.000364576567365
rights,0.000356195496851
least,0.000356195496851
each,0.000353401806679
money,0.000352004961594
china,0.000350608116508
york,0.000350608116508
away,0.000349211271422
official,0.000349211271422
asked,0.000349211271422
local,0.000347814426337
media,0.000347814426337
five,0.000346417581251
power,0.000345020736165
women,0.00034362389108
deal,0.000340830200908
wednesday,0.000339433355823
